epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5117142796516418,0.0010000000474974513,1.5937494039535522,0.6520000100135803,1.4685896635055542
1,0.7602857351303101,0.0010000000474974513,0.9558683037757874,0.7160000205039978,0.9664288759231567
2,0.8217142820358276,0.0010000000474974513,0.7778847813606262,0.8859999775886536,0.6101064682006836
3,0.8548571467399597,0.0010000000474974513,0.6949115991592407,0.9440000057220459,0.46466654539108276
4,0.8668571710586548,0.0010000000474974513,0.6466602683067322,0.9580000042915344,0.42499253153800964
5,0.8871428370475769,0.0010000000474974513,0.5982350707054138,0.9660000205039978,0.38211116194725037
6,0.8911428451538086,0.0010000000474974513,0.57662433385849,0.9700000286102295,0.3643428087234497
7,0.9079999923706055,0.0010000000474974513,0.5389960408210754,0.9739999771118164,0.35872891545295715
8,0.8914285898208618,0.0010000000474974513,0.5486294627189636,0.9739999771118164,0.352687269449234
9,0.9120000004768372,0.0010000000474974513,0.49880924820899963,0.9819999933242798,0.31413355469703674
10,0.9128571152687073,0.0010000000474974513,0.47596558928489685,0.9620000123977661,0.32502511143684387
11,0.9259999990463257,0.0010000000474974513,0.4355061948299408,0.9739999771118164,0.29691722989082336
12,0.9285714030265808,0.0010000000474974513,0.43066638708114624,0.972000002861023,0.29087913036346436
13,0.9242857098579407,0.0010000000474974513,0.42223963141441345,0.9580000042915344,0.2993634045124054
14,0.9337142705917358,0.0010000000474974513,0.38325539231300354,0.9760000109672546,0.2719871401786804
15,0.9345714449882507,0.0010000000474974513,0.3821864128112793,0.9739999771118164,0.25593891739845276
16,0.9319999814033508,0.0010000000474974513,0.386690616607666,0.9679999947547913,0.266257107257843
17,0.9368571639060974,0.0010000000474974513,0.3626277446746826,0.9639999866485596,0.2559508979320526
18,0.9454285502433777,0.0010000000474974513,0.3379823565483093,0.9660000205039978,0.24604611098766327
19,0.9480000138282776,0.0010000000474974513,0.32406336069107056,0.972000002861023,0.23222948610782623
20,0.9428571462631226,0.0010000000474974513,0.3232262432575226,0.9779999852180481,0.21071115136146545
21,0.9494285583496094,0.0010000000474974513,0.3011913597583771,0.9779999852180481,0.20871517062187195
22,0.9545714259147644,0.0010000000474974513,0.28573480248451233,0.9739999771118164,0.18908941745758057
23,0.949999988079071,0.0010000000474974513,0.284487783908844,0.9580000042915344,0.21938732266426086
24,0.949999988079071,0.0010000000474974513,0.2857866585254669,0.9739999771118164,0.19329871237277985
25,0.9488571286201477,0.0010000000474974513,0.2838589549064636,0.9819999933242798,0.17451800405979156
26,0.9557142853736877,0.0010000000474974513,0.2719933092594147,0.9860000014305115,0.1673402339220047
27,0.9477142691612244,0.0010000000474974513,0.26900961995124817,0.9800000190734863,0.17277100682258606
28,0.9554286003112793,0.0010000000474974513,0.2555558681488037,0.9760000109672546,0.17641524970531464
29,0.9574285745620728,0.0010000000474974513,0.23986172676086426,0.9700000286102295,0.17886140942573547
30,0.9602857232093811,0.0010000000474974513,0.22521409392356873,0.9700000286102295,0.17263205349445343
31,0.9559999704360962,0.0010000000474974513,0.23360787332057953,0.9679999947547913,0.1713538020849228
32,0.9668571352958679,0.0005000000237487257,0.20624923706054688,0.9779999852180481,0.15379641950130463
33,0.9662857055664062,0.0005000000237487257,0.20067639648914337,0.9819999933242798,0.13204337656497955
34,0.9657142758369446,0.0005000000237487257,0.20803813636302948,0.9860000014305115,0.1284748911857605
35,0.9682857394218445,0.0005000000237487257,0.19104278087615967,0.9819999933242798,0.141998752951622
36,0.9674285650253296,0.0005000000237487257,0.18762972950935364,0.984000027179718,0.13107582926750183
37,0.9674285650253296,0.0005000000237487257,0.1842423677444458,0.9779999852180481,0.12677881121635437
38,0.972000002861023,0.0005000000237487257,0.17331677675247192,0.9879999756813049,0.1186748594045639
39,0.9660000205039978,0.0005000000237487257,0.18306106328964233,0.9819999933242798,0.12857896089553833
40,0.972000002861023,0.0005000000237487257,0.1726328283548355,0.9860000014305115,0.1262313276529312
41,0.9634285569190979,0.0005000000237487257,0.19976283609867096,0.9819999933242798,0.12319778650999069
42,0.9728571176528931,0.0005000000237487257,0.1588073968887329,0.9860000014305115,0.11128716170787811
43,0.9651428461074829,0.0005000000237487257,0.1933290660381317,0.9879999756813049,0.11639761179685593
44,0.9708571434020996,0.0005000000237487257,0.1661180555820465,0.984000027179718,0.1052914708852768
45,0.9691428542137146,0.0005000000237487257,0.1784186214208603,0.9760000109672546,0.13556243479251862
46,0.9717142581939697,0.0005000000237487257,0.15992921590805054,0.9779999852180481,0.1156059056520462
47,0.972000002861023,0.0005000000237487257,0.15812307596206665,0.9900000095367432,0.10201681405305862
48,0.9668571352958679,0.0005000000237487257,0.16448424756526947,0.9900000095367432,0.10235029458999634
49,0.9745714068412781,0.0005000000237487257,0.14987672865390778,0.9879999756813049,0.106398805975914
